pais,num_visitas,numero_modelos,pagina_mas_visitada,precio_maximo,precio_promedio,visitaspag1trousers,visitaspag2skirts,visitaspag3blouses,visitaspag4sales,target
Poland,7,7,2-skirts,57,41.857142857142854,2.0,3.0,2.0,2.0,1
Poland,7,5,2-skirts,67,53.0,2.0,5.0,0.0,3.0,1
Ireland,5,5,3-blouses,48,42.0,0.0,1.0,4.0,1.0,1
Ireland,4,4,1-trousers,62,45.25,2.0,0.0,2.0,0.0,0
Czech Republic,1,1,3-blouses,57,57.0,0.0,0.0,1.0,0.0,0
Czech Republic,5,5,3-blouses,57,42.8,0.0,2.0,3.0,0.0,0
Poland,3,3,1-trousers,62,54.0,1.0,1.0,1.0,8.0,1
Czech Republic,9,9,3-blouses,57,37.888888888888886,0.0,2.0,7.0,0.0,0
Poland,3,3,1-trousers,57,41.0,2.0,1.0,0.0,0.0,0
Germany,5,5,2-skirts,57,45.4,1.0,4.0,0.0,0.0,0
Czech Republic,1,1,1-trousers,72,72.0,1.0,0.0,0.0,0.0,0
Poland,6,5,2-skirts,57,53.0,0.0,5.0,1.0,1.0,1
Switzerland,3,3,1-trousers,43,38.0,3.0,0.0,0.0,0.0,0
Czech Republic,1,1,1-trousers,43,43.0,1.0,0.0,0.0,0.0,0
Ireland,25,25,2-skirts,67,47.52,3.0,15.0,7.0,0.0,0
Czech Republic,7,7,2-skirts,57,38.57142857142857,1.0,3.0,3.0,0.0,0
Czech Republic,11,10,1-trousers,82,49.45454545454545,10.0,0.0,1.0,0.0,0
Poland,4,4,3-blouses,48,40.5,1.0,0.0,3.0,1.0,1
Poland,2,2,1-trousers,38,35.5,2.0,0.0,0.0,1.0,1
Poland,5,5,2-skirts,67,42.8,0.0,3.0,2.0,2.0,1
Czech Republic,4,4,1-trousers,62,44.0,4.0,0.0,0.0,0.0,0
Poland,2,2,1-trousers,57,45.0,1.0,1.0,0.0,1.0,1
Poland,5,5,2-skirts,57,43.6,0.0,4.0,1.0,1.0,1
Czech Republic,2,2,2-skirts,48,43.0,0.0,1.0,1.0,0.0,0
Poland,2,2,1-trousers,62,50.0,2.0,0.0,0.0,0.0,0
Czech Republic,5,5,3-blouses,57,46.8,1.0,1.0,3.0,0.0,0
Poland,4,4,1-trousers,48,40.5,3.0,0.0,1.0,2.0,1
Poland,3,3,1-trousers,62,44.333333333333336,3.0,0.0,0.0,0.0,0
Poland,11,11,1-trousers,62,39.72727272727273,5.0,2.0,4.0,0.0,0
Poland,12,9,3-blouses,57,44.25,2.0,4.0,6.0,0.0,0
Poland,2,2,1-trousers,43,40.5,2.0,0.0,0.0,1.0,1
Poland,7,7,1-trousers,72,53.857142857142854,6.0,1.0,0.0,14.0,1
Lithuania,2,2,2-skirts,57,52.5,0.0,1.0,1.0,0.0,0
Lithuania,5,5,1-trousers,62,50.4,4.0,1.0,0.0,0.0,0
Poland,6,6,1-trousers,62,50.666666666666664,3.0,3.0,0.0,1.0,1
Poland,2,2,1-trousers,62,52.5,2.0,0.0,0.0,2.0,1
United Kingdom,2,2,1-trousers,48,38.0,1.0,0.0,1.0,0.0,0
Czech Republic,7,7,1-trousers,82,48.42857142857143,5.0,2.0,0.0,0.0,0
Czech Republic,2,2,1-trousers,33,30.5,2.0,0.0,0.0,0.0,0
Poland,1,1,1-trousers,43,43.0,1.0,0.0,0.0,0.0,0
Czech Republic,23,11,2-skirts,62,52.869565217391305,0.0,23.0,0.0,0.0,0
Czech Republic,11,11,2-skirts,67,50.63636363636363,2.0,6.0,3.0,0.0,0
unidentified,3,3,1-trousers,60,43.666666666666664,3.0,0.0,0.0,0.0,0
Czech Republic,1,1,1-trousers,62,62.0,1.0,0.0,0.0,0.0,0
Poland,3,3,2-skirts,67,54.0,0.0,3.0,0.0,2.0,1
Poland,1,1,1-trousers,38,38.0,1.0,0.0,0.0,2.0,1
Czech Republic,41,40,1-trousers,82,43.53658536585366,18.0,5.0,18.0,0.0,0
Poland,4,4,2-skirts,62,48.75,0.0,4.0,0.0,0.0,0
Czech Republic,4,3,1-trousers,72,58.5,4.0,0.0,0.0,0.0,0
Switzerland,7,6,2-skirts,67,44.857142857142854,2.0,5.0,0.0,2.0,1
Czech Republic,3,3,1-trousers,43,38.0,3.0,0.0,0.0,0.0,0
Poland,4,3,3-blouses,48,43.0,0.0,0.0,4.0,4.0,1
Poland,8,8,1-trousers,60,43.0,4.0,3.0,1.0,1.0,1
Poland,4,4,1-trousers,82,55.0,4.0,0.0,0.0,2.0,1
Lithuania,2,2,3-blouses,55,55.0,0.0,0.0,2.0,0.0,0
Ireland,6,5,2-skirts,57,47.5,2.0,3.0,1.0,0.0,0
Lithuania,6,6,2-skirts,67,48.333333333333336,1.0,5.0,0.0,0.0,0
Romania,1,1,1-trousers,43,43.0,1.0,0.0,0.0,0.0,0
Czech Republic,5,5,3-blouses,48,39.0,0.0,0.0,5.0,0.0,0
Lithuania,14,10,2-skirts,67,56.92857142857143,0.0,14.0,0.0,0.0,0
Lithuania,4,4,1-trousers,62,45.75,4.0,0.0,0.0,0.0,0
Lithuania,3,3,1-trousers,43,39.666666666666664,2.0,1.0,0.0,0.0,0
Lithuania,21,21,1-trousers,82,44.904761904761905,10.0,6.0,5.0,0.0,0
Lithuania,2,2,1-trousers,52,47.5,1.0,1.0,0.0,0.0,0
Lithuania,12,12,3-blouses,57,47.75,2.0,2.0,8.0,0.0,0
United Kingdom,3,3,2-skirts,57,50.666666666666664,0.0,3.0,0.0,0.0,0
Czech Republic,1,1,1-trousers,33,33.0,1.0,0.0,0.0,0.0,0
Poland,1,1,3-blouses,48,48.0,0.0,0.0,1.0,0.0,0
Poland,1,1,1-trousers,38,38.0,1.0,0.0,0.0,0.0,0
Poland,4,4,1-trousers,62,44.0,4.0,0.0,0.0,3.0,1
Poland,1,1,2-skirts,52,52.0,0.0,1.0,0.0,0.0,0
Poland,4,4,1-trousers,48,41.75,2.0,0.0,2.0,11.0,1
Poland,6,6,2-skirts,57,46.666666666666664,0.0,6.0,0.0,0.0,0
Czech Republic,1,1,3-blouses,33,33.0,0.0,0.0,1.0,0.0,0
Poland,4,4,1-trousers,72,46.5,4.0,0.0,0.0,8.0,1
Poland,2,2,1-trousers,43,38.0,1.0,0.0,1.0,1.0,1
Poland,6,5,2-skirts,67,47.5,0.0,6.0,0.0,2.0,1
Poland,9,9,1-trousers,62,47.111111111111114,4.0,2.0,3.0,1.0,1
Poland,3,3,3-blouses,48,43.0,0.0,0.0,3.0,6.0,1
Czech Republic,4,4,2-skirts,67,52.5,0.0,3.0,1.0,0.0,0
Lithuania,1,1,3-blouses,28,28.0,0.0,0.0,1.0,0.0,0
Lithuania,14,14,2-skirts,62,43.07142857142857,4.0,7.0,3.0,0.0,0
United Kingdom,3,3,1-trousers,62,46.0,3.0,0.0,0.0,1.0,1
Poland,3,3,3-blouses,48,41.333333333333336,0.0,0.0,3.0,3.0,1
Poland,1,1,3-blouses,50,50.0,0.0,0.0,1.0,0.0,0
Poland,4,4,3-blouses,67,47.75,1.0,1.0,2.0,1.0,1
Lithuania,1,1,1-trousers,38,38.0,1.0,0.0,0.0,0.0,0
Lithuania,1,1,1-trousers,43,43.0,1.0,0.0,0.0,0.0,0
Poland,7,7,1-trousers,72,51.0,4.0,3.0,0.0,6.0,1
Czech Republic,2,2,3-blouses,48,48.0,0.0,0.0,2.0,0.0,0
